,entry,category,confidence
734,Airtime Payment ,utilities,99.99%
735,Grocery,food,100.00%
736,Sereese Beauty Lotion,personal,100.00%
737,Canva PRO,miscellaneous,100.00%
738,Payment for tv cable is 5000 naira,utilities,100.00%
739,Chicken Wings,food,100.00%
740,Manicure,personal,100.00%
741,Gas refill 5000,transportation,100.00%
742,Smart Watch from Ali express 7000,personal,99.23%
743,Cat food 5,food,100.00%
744,Purchase of 10 liters of fuel for generator 4500,miscellaneous,99.99%
745,Garlic salt,food,100.00%
746,Cottage Cheese 100 g,food,100.00%
747,Tree/stump removal from backyard $100,housing,99.99%
748,soda snack,food,100.00%
749,TV mounting charges,utilities,100.00%
750,Fixing the tv 30 usd,utilities,100.00%
751,Birthday cake for hubby,food,99.99%
752,Entertainment $20,recreation,100.00%
753,Camping tools,recreation,100.00%
754,Takeout food,food,100.00%
755,Earphones,recreation,96.87%
756,Salon expenses,personal,99.99%
757,car maintenance 50,transportation,100.00%
758,Gym subscription $150,personal,99.99%
759,Travel $200,recreation,99.99%
760,cinema 30,recreation,99.99%
761,Coffee,food,100.00%
762,Bottled water 1950,food,100.00%
763,Lunch 450,food,99.99%
764,Church offerings,recreation,99.99%
765,groceries 550,food,100.00%
766,Telephone bill 3000,utilities,99.99%
767,Medicine,medical,100.00%
768,Milk,food,99.99%
769,Immunol for cats,medical,100.00%
770,Grocery store,food,99.99%
771,Swimming $2,recreation,99.99%
772,House rent $180,housing,100.00%
773,Eggs 300,food,100.00%
774,daily car rental,transportation,100.00%
775,lotteries $20,recreation,51.09%
776,Washer repair,housing,99.99%
777,Talk time for my wife's phone for September 400,utilities,99.99%
778,6 Plates,saving,99.86%
779,Dinner pasta 2.5 usd,food,100.00%
780,Weed dealer 500,miscellaneous,100.00%
781,Slippers for bathroom,personal,100.00%
782,Salt,food,100.00%
783,Allowance given to my family,saving,100.00%
784,Car rent for month,transportation,100.00%
785,Cooking oil $4,food,99.99%
786,Bus tickets 350,transportation,99.99%
787,coffee,food,100.00%
788,Sugar,food,100.00%
789,Purchase of airtime 3500,utilities,100.00%
790,get help with taxes,housing,100.00%
791,Razor blade set $ 1,personal,100.00%
792,2 pair of Shorts,personal,99.99%
793,7 spoons ,miscellaneous,99.99%
794,Electric bill,utilities,99.99%
795,Breakfast drinks,food,100.00%
796,internet bill 45,utilities,99.99%
797,Water,utilities,99.99%
798,Took a cab to school,transportation,99.99%
799,Clothing,personal,100.00%
800,T-shirt from daraz 1700,personal,99.99%
801, payment for garbage disposal is 5000 naira,utilities,99.99%
802,Lunch is 3000 naira,food,100.00%
803,LPG gas,utilities,99.99%
804,Gardener's salary,saving,100.00%
805,products from the supermarket,food,100.00%
806,Ice-cream is 6000 naira,food,100.00%
807,Honey Citron Drink  ,food,100.00%
808,Dog Food,food,100.00%
809,Hair oil 350,personal,99.99%
810,socks,personal,99.99%
811,Books,personal,84.87%
812,Electric bill,utilities,99.99%
813,Gifts for best friend,recreation,99.99%
814,Hair cut,personal,99.99%
815,Eyeshadow for fair skin,personal,99.99%
816,A pair of Crocs,personal,100.00%
817,Flowers for mum,nonsense,100.00%
818,Grocery store ,food,99.99%
819,ICT training,personal,99.99%
820,House rent,housing,99.99%
821,school shoes for my child,personal,100.00%
822,House rent for month,housing,88.18%
823,snacks for 200,food,99.99%
824,Water bill,utilities,99.99%
825,Rent,housing,99.99%
826,Eyeshadow palette,personal,99.99%
827,Buying meat from butcher's 420,food,100.00%
828,Grocery on Sunday,food,100.00%
829,electricity bill,utilities,99.99%
830,Electronics store,utilities,99.99%
831,brown jeans $45,personal,100.00%
832,rent 1300,housing,99.99%
833,Nail polish,personal,99.99%
834,Face serum ,personal,100.00%
835,Comb $ 0.5,personal,95.21%
836,Rent Payment,housing,100.00%
837,tissue paper,miscellaneous,99.99%
838,Taking pants to tailor 7,personal,99.99%
839,Maize flour $2,food,99.99%
840,Phone repairs,utilities,100.00%
841,Tray of eggs $ 3.5,food,100.00%
842,Torchlight,personal,77.45%
843,Grocery ,food,100.00%
844,Ice cream 25,food,100.00%
845,30cm ruler $  0.5,miscellaneous,66.10%
846,Wifi,utilities,99.99%
847,Bread for breakfast ,food,100.00%
848,Pillow Cases,saving,79.88%
849,Uber payment,transportation,100.00%
850,car insurance,transportation,99.99%
851,Fare to breakfast club,transportation,100.00%
852,Tampons 5,personal,99.99%
853,Internet Bill ,utilities,83.87%
854,Masking tape,miscellaneous,100.00%
855,Gifts for mother’s day,recreation,99.99%
856,New playstation games,recreation,99.99%
857,Medical Bills,medical,100.00%
858,Electric bill,utilities,99.99%
859,my insurance,saving,100.00%
860,Serviettes,food,99.99%
861,Barbecue grill $125,food,100.00%
862,Plumber for toilet 10,housing,100.00%
863,milk 60,food,99.99%
864,Water bill payment,utilities,99.99%
865,Library penalty,saving,99.99%
866,Car fuel 20,transportation,100.00%
867,Health insurance quote september,medical,99.99%
868,Netflix bill,utilities,100.00%
869,Son's new school socks,miscellaneous,76.12%
870,New 2pac CD 15,recreation,99.99%
871,scotch tape 2  rolls,miscellaneous,97.20%
872,Kids clothes 49,personal,99.99%
873,Gas,transportation,100.00%
874,Viki subscription fee,utilities,99.99%
875,Energy service,utilities,99.99%
876,Basin $3,miscellaneous,99.99%
877,September phone plan,utilities,100.00%
878,Entertainment,recreation,99.99%
879,Transportation back home,transportation,100.00%
880,Prawns 450,food,100.00%
881,Internet payment 180,utilities,99.99%
882,School uniform purchase for little brother,personal,99.99%
883,Gas for car,transportation,100.00%
884,Home furniture,housing,99.99%
885,Shampoo,personal,100.00%
886,Lunch meal,food,100.00%
887,Clothes ,personal,99.37%
888,doctor reservation and medication for 300,medical,100.00%
889,a walk to the movies,recreation,99.99%
890,New pair of jeans 50,personal,98.67%
891,Condensed milk ,food,100.00%
892,Electricity payment 90,utilities,99.99%
893,Wristwatch for Dad,recreation,98.15%
894,Road trips with friends,recreation,100.00%
895,Short 890,personal,99.99%
896,Bought some doughnuts,food,100.00%
897,Water bill,utilities,99.99%
898,water bill 70,utilities,98.32%
899,Chef's salary ,miscellaneous,99.99%
900,Cat food 20kg and litter 2 bags july,food,99.99%
901,prepaid recharge card 10,utilities,100.00%
902,Airtime $1,utilities,100.00%
903,Bought milk,food,99.99%
904,Shoe rack $ 9,personal,99.99%
905,James borrowed $150,saving,100.00%
906,3 cinema tickets ,recreation,99.99%
907,Replacement of gadgets,miscellaneous,99.99%
908,Train tickets for Diwali Vacation,recreation,100.00%
909,car insurance 100,nonsense,100.00%
910,Air freshner $2,miscellaneous,99.99%
911,Payment for laundry,housing,99.99%
912,New shaver,personal,99.99%
913,Car seat repair ,transportation,99.99%
914,Groceries,food,99.99%
915,Landline Bills,utilities,99.99%
916,Fender guitar,recreation,99.99%
917,phone 25,utilities,99.99%
918,Menstrual Pad,personal,87.45%
919,fuel,transportation,100.00%
920,Knife $4,saving,62.57%
921,Porridge flour,food,100.00%
922,Wireless keyboard 2500,miscellaneous,99.99%
923,Mother's health insurance ,medical,100.00%
924,Tile and carpet cleaning service $50,housing,100.00%
925,Indomie noodles #170,food,99.99%
926,Teambuilding expenses,recreation,100.00%
927,Purchase of perfume 45000,personal,99.99%
928,Electronics $500,miscellaneous,99.92%
929,Canned corn,food,99.99%
930,Purchase of son's school shoes,personal,99.99%
931,Food,food,100.00%
932,Fruit juice 150,food,100.00%
933,eye glassesses for 500,medical,100.00%
934,Telephone bill,utilities,100.00%
935,Electricity bill is 20000 naira,utilities,99.99%
936,Fish and Vegetables,food,99.99%
937,Exercise equipment from Amazon,personal,99.99%
938,Phone payments ,utilities,99.99%
939,Stationery purchase,miscellaneous,99.99%
940,Mum's monthly maintenance,housing,100.00%
941,Serving plates $ 5,housing,96.33%
942,Dry wash my blue blazer 150,medical,79.80%
943,Extra Batteries,utilities,99.99%
944,Dish washing sponge $0.5,miscellaneous,75.98%
945,Telephone bills,utilities,100.00%
946,Burgers $15,food,100.00%
947,Birthday party ,recreation,99.99%
948,New pajamas 15,personal,99.99%
949,Car parts replacement ,transportation,99.99%
950,Tax of my car 1300,transportation,100.00%
951,Special order for fresh bread is 3000 naira,food,100.00%
952,Air fresheners,miscellaneous,99.99%
953,Son's doctor for romorrow 15 usd,medical,100.00%
954,Paid Kenya power electricity,utilities,100.00%
955,Grocery store,food,100.00%
956,Payment for mother's tv subscription ,utilities,99.99%
957,College Books,miscellaneous,66.51%
958,TV repair expense,miscellaneous,97.79%
959,Swimsuit,personal,100.00%
960,Motorcycle loan,transportation,100.00%
961,Maize flour,food,99.99%
962,Serving spoons $5,food,100.00%
963,2 LED bulbs,miscellaneous,83.06%
964,Coffee from Starbucks,food,99.99%
965,Soap,medical,99.99%
966,Internet monthly bill,utilities,99.99%
967,Toilet tissues,food,99.99%
968,Vanilla flavoring,food,99.99%
969,Chocolate 500,food,100.00%
970,Toothbrush $1,personal,100.00%
971,Paid home rent,housing,100.00%
972,Food   5000,food,99.11%
973,Electric Bill august,utilities,100.00%
974,3 eggs,food,100.00%
975,Data for phone ,utilities,100.00%
976,Electricity bill 100,utilities,99.99%
977,bicycle tubes 2,transportation,100.00%
978,greengrams,food,99.99%
979,Bathing net $ 1,personal,99.99%
980,toothpaste,personal,99.10%
981,Dining out,food,100.00%
982,electricity bill 70,utilities,99.99%
983,Electricity bill,utilities,100.00%
984,shiseido mascara,personal,99.99%
985,Dinner with girlfriends ,miscellaneous,99.99%
986,cooking gas refilling,utilities,99.99%
987,Chicken 1000,food,100.00%
988,Books 500,personal,93.12%
989,car maintenance 50,transportation,99.99%
990,1 Thermos,miscellaneous,100.00%
991,September’s rent,housing,99.99%
992,Gift Mother's birthday Aug 21st,nonsense,63.18%
993,Diesel,transportation,100.00%
994,Grocery store,food,100.00%
995,Power bank,personal,98.87%
996,Son's school trip,recreation,99.99%
997,Transport to market 2000,transportation,100.00%
998,Monthly Electricity and gas,utilities,100.00%
999,Plastic containers 600,miscellaneous,98.76%
1000,Shoe polish,miscellaneous,96.15%
1001,Rent car for 15 days ,transportation,100.00%
1002,Jackfruit ,food,99.99%
1003,transportation 100,transportation,100.00%
1004,Gelato 2,food,100.00%
1005,Fuel for Dad's car,transportation,100.00%
1006,A can of Milk,food,100.00%
1007,Phone cases,utilities,99.99%
1008,Dentist Appointment,medical,100.00%
1009,assorted color pens $12.99,personal,99.99%
1010,Purchase of books,personal,99.99%
1011,Electric bill,utilities,100.00%
1012,Book for mum 10,recreation,100.00%
1013,Taxi fare,transportation,100.00%
1014,Octane for my bike 100,transportation,100.00%
1015,Ordering food from Getir 120,food,87.85%
1016,gas bill,utilities,100.00%
1017,Pens,miscellaneous,99.79%
1018,Daily lunch chicandy 4.4 usď,food,100.00%
1019,dog food,food,100.00%
1020,Wall mirror $ 8,housing,72.79%
1021,Sneakers for Training,personal,53.52%
1022,Tea leaves,food,100.00%
1023,Donation to my Friend's Surgery,recreation,100.00%
1024,School bag for Daniel,miscellaneous,54.84%
1025,Petroleum jelly $2,personal,99.99%
1026,Soft drinks 65,food,99.99%
1027,Renting movies $80,recreation,100.00%
1028,Contraceptive pills 18,medical,100.00%
1029,Wristwatch repair ,miscellaneous,99.99%
1030,Car wash $120,transportation,100.00%
1031,kid's sport,recreation,99.99%
1032,Tampons,personal,92.48%
1033,Tomatoes price ,food,96.22%
1034,A pack of Biscuits,food,100.00%
1035,Fruits for Dinner,food,99.99%
1036,Water bill 50,utilities,99.99%
1037,color A4 prints $8,miscellaneous,73.47%
1038,Paid electricity bills,utilities,100.00%
1039,House help payments,saving,99.99%
1040,Bought X16 plus Kilimall,miscellaneous,99.90%
1041,Gas for car,transportation,100.00%
1042,credit card bill 150,saving,100.00%
1043,Electricity bill,utilities,99.99%
1044,Socks,personal,99.99%
1045,Car refueling 6500,transportation,100.00%
1046,Car rent for month,transportation,100.00%
1047,Internet,utilities,100.00%
1048,Shopping Clothes ,personal,100.00%
1049,Insurance,saving,100.00%
1050,Payment for books is 6000 naira,recreation,99.99%
1051,Birthday gift for sister ,recreation,99.99%
1052,Cake from Red Ribbon,food,100.00%
1053,Pad\\ tampons 1800,medical,100.00%
1054,Snacks ,food,100.00%
1055,A pair of sunglasses,personal,100.00%
1056,Lotion,medical,100.00%
1057,Gas refill ,transportation,100.00%
1058,Bought razor,personal,99.99%
1059,Internet payment 30,utilities,100.00%
1060,Rent new appertment for holiday ,housing,99.99%
1061,bread,food,99.99%
1062,Lunch with Family on Weekends,food,100.00%
1063,diapers $40,medical,100.00%
1064,Date night ,recreation,99.99%
1065,Trash bin $ 2,housing,99.99%
1066,Kitchen rack $3,housing,89.15%
1067,kids shampoo,personal,99.99%
1068,weed 200,recreation,100.00%
1069,Auto repair,transportation,100.00%
1070,Auto detailing,nonsense,99.90%
1071,Break time snack,food,100.00%
1072,Son's lunch program,food,100.00%
1073,kids candy $14,food,99.99%
1074,Hair 7000,personal,99.99%
1075,tea 50,food,99.99%
1076,Chelsea colgne $5,personal,99.99%
1077,Fork $2,miscellaneous,99.99%
1078,Cake for niece's birthday ,food,99.99%
1079,Phone payment in installments,utilities,100.00%
1080,Ramen noodles,food,99.99%
1081,Phone local,utilities,100.00%
1082,Salt 15g,food,98.35%
1083,Fruits and vegetables ,food,99.99%
1084,Groceries for cooking breakfast,food,100.00%
1085,Comic books,recreation,100.00%
1086,Claw hammer 1250,miscellaneous,100.00%
1087,Travel savings ,recreation,100.00%
1088,dog walker 10,miscellaneous,98.74%
1089,Pens Pouch $3,personal,98.27%
1090,Phone payment,utilities,100.00%
1091,Butter ,food,100.00%
1092,check amazon discounts,saving,99.99%
1093,Baking soda for Mom's birthday cake,food,100.00%
1094,Lip gloss,personal,99.99%
1095,house rent payment,housing,99.99%
1096,internet bill,utilities,100.00%
1097,Transport fare #500,transportation,100.00%
1098,Service crews' salary,nonsense,99.99%
1099,Food spices $30,food,100.00%
1100,Birthday gift for husband,recreation,100.00%
1101,Grocery store 100,food,100.00%
1102,Free market vegetables and fruit Sept 11th,food,100.00%
1103,beans,food,100.00%
1104,Grammarly subscription fee,utilities,100.00%
1105,3 shirts,personal,99.99%
1106,Sharpener $0.3,miscellaneous,78.48%
1107,Take away 15,food,99.99%
1108,Laptop battery 4450,utilities,99.99%
1109,wife`s salon ,personal,99.16%
1110,Red blazer from zara 70,personal,99.99%
1111,Purchased a gown,personal,100.00%
1112,House Rent,housing,100.00%
1113,Oil change for car,transportation,100.00%
1114,daughter tuition fees $150,personal,99.99%
1115,Doctor visit 100,medical,100.00%
1116,Replace son's fountain pen and ink,nonsense,92.29%
1117,Ready meals,food,99.99%
1118,Bestseller novels,recreation,98.92%
1119,Spoons,miscellaneous,99.99%
1120,Groceries 400,food,100.00%
1121,Dry cleaners bill is 5000 naira,nonsense,99.99%
1122,cable TV bill 40,utilities,100.00%
1123,Gummy bears,food,100.00%
1124,Hiking and adventure $100,recreation,100.00%
1125,Fixing plumbing ,housing,100.00%
1126,Oatmeal,food,99.99%
1127,match box,miscellaneous,99.99%
1128,Eraser $ 0.5,miscellaneous,100.00%
1129,Sandals,personal,96.27%
1130,Paid electric bills,utilities,100.00%
1131,Headphones,utilities,100.00%
1132,Viewing centre fee for premier league match 500,recreation,99.54%
1133,Spa treatment,recreation,99.99%
1134,Haircut ,personal,100.00%
1135,New furniture ,housing,100.00%
1136,Grocery shopping 35,food,100.00%
1137,Son's remedial classes,personal,99.99%
1138,Gave money to mother #8000,recreation,99.99%
1139,Nonstick pans for mom 3,housing,100.00%
1140,water bill 50,utilities,100.00%
1141,hair dryer iron from rush brush for 3000,personal,100.00%
1142,Kiosk expense,miscellaneous,100.00%
1143,rent 1100,housing,100.00%
1144,Coffee 1,food,100.00%
1145,Bathing soap $1,personal,99.99%
1146,Bought flashlight online,miscellaneous,99.99%
1147,Ladies magazine from Jumia,personal,99.99%
1148,Paid an uber using bolt,transportation,100.00%
1149,Italian seasoning ,food,100.00%
1150,internet 15,utilities,100.00%
1151,Vacuum,saving,99.99%
1152,toothpaste + toothbrush,personal,90.46%
1153,4g internet data for one week 148,utilities,99.99%
1154,Electricity bill 60,utilities,99.99%
1155,Internet service,utilities,100.00%
1156,milk ,food,100.00%
1157,Car insurance renewal ,transportation,99.99%
1158,phone bill August,utilities,100.00%
1159,Cats food 15,food,99.99%
1160,Shoes and clothing $100,personal,100.00%
1161,Gift to my brother,recreation,99.99%
1162,Internet connection,utilities,90.58%
1163,Bus fare,transportation,100.00%
1164,Guitar picks,recreation,100.00%
1165,Gas/oil 60,transportation,100.00%
1166,Phone bill 15,utilities,100.00%
1167,Payment for beauty products is 45000 naira ,personal,99.99%
1168,Payment for fancy slippers is 5000 naira,personal,99.99%
1169,2-week vacation ,recreation,100.00%
1170,window paint 1 liter,housing,99.99%
